system,namaste_code,name,icd11_term,icd11_code
Ayurveda,AYU,vyādhi-viniścayaḥ,,
Ayurveda,DIS,vikāraḥ,,
Ayurveda,A,dōṣavaiṣamyam,,
Ayurveda,AA,vātavyādhiḥ,,
Ayurveda,AAA,dōṣāvasthā,,
Ayurveda,SR11,vātasañcayaḥ,Accumulation of Vata pattern (TM2),SR11
Ayurveda,SR12,vātavṛddhiḥ,Aggravation of vata pattern (TM2),SR12
Ayurveda,SR10,vātaprakopaḥ,Vitiation of vāta pattern (TM2),SR10
Ayurveda,AAA-2.2,prāṇavātakōpaḥ,,
Ayurveda,AAA-2.3,udānavātakōpaḥ,,
Ayurveda,AAA-2.4,vyānavātakōpaḥ,,
Ayurveda,AAA-2.5,samānavātakōpaḥ,,
Ayurveda,AAA-2.6,apānavātakōpaḥ,,
Ayurveda,SR13(AAA-3),vātaprasaraḥ,Spreading of vata pattern (TM2),SR13
Ayurveda,SR14,vātakṣayaḥ,Depletion of vata pattern (TM2),SR14
Ayurveda,AAB,nānātmajavātavikāraḥ,,
Ayurveda,SQ00,atipralāpaḥ,Delirium disorder (TM2),SQ00
Ayurveda,SQ05(AAB-2),anavasthitacittatvam,"Lack of concentration, confusion disorder (TM2)",SQ05
Ayurveda,AAB-3,aṅgamardaḥ,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,AAB-4,aṅgaśuṣkatā,Other specified disorders affecting the whole body (TM2),SP9Y
Ayurveda,SP21,aṅgavibhraṁśaḥ,Atony disorder (TM2),SP21
Ayurveda,AAB-6,arditaḥ,Facial palsy disorder (TM2),SK20
Ayurveda,SM1P (AAB-7),arasajñatā,Ageusia disorder (TM2),SM1P
Ayurveda,AAB-8,aśabdaśravaṇam,Tinnitus disorder (TM2),SK86
Ayurveda,AAB-9,asvapnaḥ,Insomnia disorder (TM2),SQ24
Ayurveda,AAB-10,akṣibhēdaḥ,,
Ayurveda,AAB-11,akṣivyudāsaḥ,,
Ayurveda,AAB-12,akṣiśūlaḥ,,
Ayurveda,AAB-13,āṭōpaḥ,,
Ayurveda,AAB-14,ākṣēpakaḥ,,
Ayurveda,SK84 (AAB-15),uccaiḥśrutiḥ,,
Ayurveda,AAB-16,udarāvēṣṭaḥ,Other specified abdominal cavity disorders (TM2),SM3Y
Ayurveda,AAB-17,udāvartaḥ,Volvulus disorder (TM2),SM35
Ayurveda,AAB-18,ūrustambhaḥ/āḍhyavātaḥ,,
Ayurveda,AAB-19,ūrusādaḥ,,
Ayurveda,AAB-20,ēkāṅgarōgaḥ,,
Ayurveda,AAB-21,ōṣṭhabhēdaḥ,,
Ayurveda,SL02 (AAB-22),kaṇṭhodhvaṃsaḥ,Hoarseness of voice disorder (TM2),SL02
Ayurveda,AAB-23,karṇaśūlaḥ,Otalgia disorder (TM2),SK87
Ayurveda,AAB-24,kampaḥ/vēpathuḥ,,
Ayurveda,AAB-25,kaṣāyāsyatā,Other specified oral cavity disorders (TM2),SM1Y
Ayurveda,SP97,klamaḥ,Severe fatigue disorder (TM2),SP97
Ayurveda,SN41,kārṣṇyam,Discoloration of body disorder (TM2),SN41
Ayurveda,AAB-28,kubjatvam,,
Ayurveda,SP61,kārśyam,Emaciation disorder (TM2),SP61
Ayurveda,SN4C,keśabhūmisphuṭanam,Scaling of scalp and forehead skin disorder (TM2),SN4C
Ayurveda,AAB-31,khañjaḥ/khañjatvam,,
Ayurveda,AAB-32,garbhanāśaḥ,,
Ayurveda,SP45,grīvāstambhaḥ,Cervical spondylosis disorder (TM2),SP45
Ayurveda,AAB-34,gudabhraṁśaḥ,Rectal prolapse disorder (TM2),SM55
Ayurveda,SM50,gudārtiḥ,Proctalgia disorder (TM2),SM50
